电影名,电影链接,电影详情,工作人员,评论人数,豆瓣评分
疯狂原始人,https://movie.douban.com/subject/1907966/,2013 / 美国 / 喜剧 动画 冒险,导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders   主演...,523408人评价,8.7
英雄本色,https://movie.douban.com/subject/1297574/,1986 / 中国香港 / 剧情 动作 犯罪,导演: 吴宇森 John Woo   主演: 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,280251人评价,8.7
七武士,https://movie.douban.com/subject/1295399/,1954 / 日本 / 动作 冒险 剧情,导演: 黑泽明 Akira Kurosawa   主演: 三船敏郎 Toshirô Mifune / 志村乔 ...,109707人评价,9.2
喜宴,https://movie.douban.com/subject/1303037/,1993 / 中国台湾 美国 / 剧情 喜剧 爱情 同性 家庭,导演: 李安 Ang Lee   主演: 赵文瑄 Winston Chao / 郎雄 Sihung Lung / 归亚...,196843人评价,8.9
萤火虫之墓,https://movie.douban.com/subject/1293318/,1988 / 日本 / 动画 剧情 战争,导演: 高畑勋 Isao Takahata   主演: 辰己努 / 白石绫乃 / 志乃原良子,274239人评价,8.7
东邪西毒,https://movie.douban.com/subject/1292328/,1994 / 中国香港 中国台湾 / 剧情 动作 爱情 武侠 古装,导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 林青霞 Brigitte...,365642人评价,8.6
真爱至上,https://movie.douban.com/subject/1292401/,2003 / 英国 美国 法国 / 喜剧 剧情 爱情,导演: 理查德·柯蒂斯 Richard Curtis   主演: 休·格兰特 Hugh Grant / 柯林...,433099人评价,8.6
傲慢与偏见,https://movie.douban.com/subject/1418200/,2005 / 法国 英国 美国 / 剧情 爱情,导演: 乔·怀特 Joe Wright   主演: 凯拉·奈特莉 Keira Knightley / 马修·...,433987人评价,8.6
时空恋旅人,https://movie.douban.com/subject/10577869/,2013 / 英国 / 喜剧 爱情 奇幻,导演: 理查德·柯蒂斯 Richard Curtis   主演: 多姆纳尔·格里森 Domhnall Gl...,305976人评价,8.7
贫民窟的百万富翁,https://movie.douban.com/subject/2209573/,2008 / 英国 美国 / 剧情 爱情,导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan   主演: 戴夫...,500745人评价,8.6
