项目名称,项目编号,发包方名称,发包方联系人,时间,合同金额
中国航空制造技术研究院10KV电力管线市政道路修复工程,2019Z20001287,北京西海市政建筑工程有限公司,张东升,2019-07-28 00:00:00.0,2385036.44
2#商品住宅等4项、18#开闭站（昌平区南邵镇（中关村科技园昌平园东区二期）0303-07地块F1住宅混合公建用地（配建人才公共租赁住房）项目,2019F20005787,北京长河域建设工程有限公司,邓鹏浩,2019-07-24 00:00:00.0,2600000.00
X91R1地块二类居住（配建公共租赁住房）项目外幕墙深化设计、供应及安装分包工程（二标二期）,2019F20002499,福建凤凰山装饰工程有限公司,吴清淇,2019-08-25 00:00:00.0,4200000.00
北京万科大都会79号项目幕墙项目,2019F20004662,北京江河幕墙系统工程有限公司,周韩平,2019-08-26 00:00:00.0,3100000.00
小学教学楼（中外合资成立北京三氏富华房地产开发有限公司项目）,2019F20005275,北京市市政四建设工程有限责任公司,/,2019-06-29 00:00:00.0,673630.22
广华新城居住区615和621地块职工安置住宅项目1-3#楼、1-4#楼、1-5#楼、1-6#楼及地下车库（施工）,2019F20005445,陕西威盾电子安全技术有限责任公司,李忠泉,2019-06-30 00:00:00.0,990000.00
双埠头村村内环境提升项目-抹灰工程(各港路街道XI-XIOO),2019F20005676,北京市欣京州建筑公司,杨志忠,2019-06-30 00:00:00.0,545000.00
2019年度城市排管网防汛、节假日及重大活动备勤保障工程,2019F20005354,北京北排建设有限公司,石磊,2019-06-30 00:00:00.0,429440.00
2019年管网更新改造项目松榆西里社区合流更新改造工程,2019F20005349,北京北排建设有限公司,石磊,2019-06-30 00:00:00.0,31600.40
沟渠庄村内环境提升项目-排水,2019F20005678,北京市欣京州建筑公司,杨志忠,2019-06-30 00:00:00.0,425000.00
双埠头村村内环境提升项目-道路工程(G3、G7、G8、Z4	),2019F20005679,北京市欣京州建筑公司,81563247,2019-06-30 00:00:00.0,400000.00
丰台科技园东区三期东旭国际中心项目室内燃气工程,2019F20005605,北京市煤气工程有限公司,李钦,2019-06-30 00:00:00.0,390000.00
北京东方广场首层（UG）HH01&03&05&33乔丹店装修工程,2019F20005628,鼎新建筑装饰工程有限公司,郎国峰,2019-06-30 00:00:00.0,420000.00
2019年管网更新改造项目曹慧路东段污水改造工程,2019F20005543,北京北排建设有限公司,石磊,2019-06-30 00:00:00.0,140213.90
四惠车辆段电气试验室工程,2019F20005727,北京城建安装集团有限公司,李建武,2019-06-28 00:00:00.0,214336.00
田村路大件运输场污水改造工程,2019F20005347,北京北排建设有限公司,石磊,2019-06-30 00:00:00.0,41406.00
双埠头村村内环境提升项目-油漆工程(各港路街道XI-XIOO),2019F20005677,北京市欣京州建筑公司,杨志忠,2019-06-30 00:00:00.0,630000.00
2018年“百街千巷”环境整治提升BXQ-3项目,2018Z20001627,北京城建亚泰建设集团有限公司,曹国章,2019-06-30 00:00:00.0,9379545.00
北京长安府项目5#、11#、21#、29#、35#、31#、37#、26#、28#楼拆除工程,2019F20005458,北京京西建设集团有限责任公司,李明,2019-06-30 00:00:00.0,837000.00
北京市第八中学教学楼等粉刷（脚手架）,2019F20005754,北京房修一建筑工程有限公司,戴京斌,2019-06-30 00:00:00.0,250000.00
1#研发用房等12项、9#研发用房（中关村科技园区丰台园产业基地东区三期1516-36地块项目）,2019F20005738,北京江河幕墙系统工程有限公司,周韩平,2019-07-01 00:00:00.0,3300000.00
北京城市副中心潞阳大街(通济路~畅和西路)、潞阳大街(畅和西路路口)、潞阳大街(畅和西路~畅和东路)管廊工程及潞阳大街(通济路~畅和东路)道路工程4标-(畅和西路~畅和东路)管廊主体结构工程,2019Z20001293,北京市政建设集团有限责任公司,刘其铎,2019-07-01 00:00:00.0,4893232.00
云溪花园B-02地块住宅小区A-1#住宅楼等18项（密云县溪翁庄镇京密引水渠调节池东侧A-02、B-02、C-03、B-04）地块项目）（即北京万科密云项目B02地块总承包工程一标段,2019Z20001265,北京城建北方集团有限公司,张权,2019-07-01 00:00:00.0,6641812.48
长安街延长线（通州段）市容景观提升工程（二期）（通胡大街3、5号临街底商）,2019Z20001201,北京易成市政工程有限责任公司,强兵,2019-07-01 00:00:00.0,1271000.00
丰台区丽泽路E-01、E-05、E-06地块C2商业金融用地项目（E-06地块3#办公楼）,2019F20005894,远洋国际建设有限公司,何畏,2019-07-01 00:00:00.0,13530079.11
1# 生产厂房等11项（新型玩具书及AR虚拟现实玩具书项目）机电安装劳务分包工程,2019F20005527,中建城市建设发展有限公司,潘学斌,2019-07-01 00:00:00.0,3257570.00
FS00-YF06-0071等地块1#住宅楼等15项（房山区城关中心区棚户区改造土地开发项目二期安置地块）0071-3#住宅楼、公建1#楼及地下车库工程,2019F20005784,北京金地房勘地质工程有限公司,王辉,2019-07-01 00:00:00.0,1030000.00
北京轨道交通新机场线一期工程土建03标二工区区间降压所,2019F20005692,北京市政路桥股份有限公司,李军,2019-07-01 00:00:00.0,832657.00
通州区宋庄镇烛光小区天然气工程,2019F20005691,北京易成市政工程有限责任公司,强兵,2019-07-01 00:00:00.0,472700.00
2019年管网更新改造项目六里屯污水更新改造工程,2019F20005352,北京北排建设有限公司,石磊,2019-06-30 00:00:00.0,112630.50
昌平路中段污水改造工程,2019F20005348,北京北排建设有限公司,石磊,2019-06-30 00:00:00.0,150318.20
2019北京市昌平区重点公路清扫保洁工程,2019F20005530,北京路桥瑞通养护中心有限公司,王凤平,2019-06-30 00:00:00.0,420060.00
2019年管网更新改造项目弘燕路南支线污水更新改造工程,2019F20005351,北京北排建设有限公司,石磊,2019-06-30 00:00:00.0,47740.50
38-S2#公共服务设施楼（石景山区五里坨建设组团-1601-038地块F1住宅混合公建用地项目）二次结构及粗装修劳务工程,2019F20005216,中建二局第三建筑工程有限公司,张万宾,2019-06-30 00:00:00.0,382674.00
昌平回龙观至海淀上地地区自行车专用路工程—养护工区,2019F20005962,北京路鹏达市政建设有限责任公司,何华,2019-07-01 00:00:00.0,581047.63
2019年管网更新改造项目百子湾仓库6号支线污水更新改造工程,2019F20005353,北京北排建设有限公司,石磊,2019-06-30 00:00:00.0,164491.00
上庄路南延（闵庄路-黑龙潭路）道路工程（含西山隧道）恢复工程3#标段,2019F20005282,北京市市政二建设工程有限责任公司,高宪仁,2019-07-01 00:00:00.0,445600.00
北京丽泽商务E-08、E-09地块商业金融项目天然气工程,2019F20005960,北京东方中远市政工程有限责任公司,曹义元,2019-07-01 00:00:00.0,1045050.05
石景山区北辛安项目 668 地块外幕墙工程,2019F20005343,北京江河幕墙系统工程有限公司,周韩平,2019-07-01 00:00:00.0,3570952.00
食堂操作间电气线路,2019F20005905,北京首华建设经营有限公司,徐维恒,2019-07-01 00:00:00.0,50000.00
423项目工程,2019F20005653,北京江河幕墙系统工程有限公司,周韩平,2019-07-01 00:00:00.0,4401695.00
北京万科观承别墅特写楼小市政工程,2019F20005524,北京易成市政工程有限责任公司,强兵,2019-07-01 00:00:00.0,300000.00
朝阳区孙河乡西甸村2902-L01、2902-L02地块机构养老设施、二类居住用地项目天然气工程,2019F20005235,北京市煤气工程有限公司,张锡勇,2019-07-01 00:00:00.0,4500000.00
亚运村地区树池及边角地绿化项目,2019F20005909,北京首华建设经营有限公司,/,2019-07-01 00:00:00.0,316600.50
2#疫苗车间、3#疫苗车间水暖电工程,2019F20005546,江苏江都建设集团有限公司,钱春余,2019-07-01 00:00:00.0,2000000.00
京沈客专星火站枢纽站前工程,2019F20005444,中铁六局集团电务工程有限公司,李学文,2019-07-01 00:00:00.0,484449.28
